platform,title,type,release_year,runtime,main_genre_clean,imdb_score,imdb_votes
Netflix,The Green Inferno,MOVIE,2013,100,thriller,5.3,44016
Netflix,Empire State,MOVIE,2013,94,action,5.2,21538
Netflix,Penguins of Madagascar,MOVIE,2014,92,family,6.6,89930
Netflix,A Walk Among the Tombstones,MOVIE,2014,113,drama,6.5,121232
Netflix,The Call,MOVIE,2013,94,thriller,6.7,121843
Netflix,Scary Movie 5,MOVIE,2013,89,comedy,3.5,71405
Netflix,Philomena,MOVIE,2013,97,drama,7.6,99647
Netflix,Seventh Son,MOVIE,2014,102,action,5.5,76939
Netflix,The Butler,MOVIE,2013,132,drama,7.2,114768
Netflix,Texas Chainsaw 3D,MOVIE,2013,87,thriller,4.8,49312
Netflix,Cloudy with a Chance of Meatballs 2,MOVIE,2013,95,animation,6.3,102071
Netflix,Metallica: Through the Never,MOVIE,2013,93,music,7.1,17513
Netflix,Mr. Peabody & Sherman,MOVIE,2014,92,action,6.8,69669
Netflix,The Frozen Ground,MOVIE,2013,105,thriller,6.4,62972
Netflix,Shrek the Musical,MOVIE,2013,130,music,6.9,3695
Netflix,The Railway Man,MOVIE,2013,116,drama,7.1,40175
Netflix,Get on Up,MOVIE,2014,139,drama,6.9,24613
Netflix,Who Am I,MOVIE,2014,105,thriller,7.5,55044
Netflix,The Battered Bastards of Baseball,MOVIE,2014,80,documentation,8.0,4043
Netflix,Walk of Shame,MOVIE,2014,95,comedy,6.0,54465
Netflix,Cowspiracy: The Sustainability Secret,MOVIE,2014,90,documentation,8.2,25133
Netflix,The Smurfs 2,MOVIE,2013,105,comedy,5.3,42011
Netflix,"I, Frankenstein",MOVIE,2014,92,thriller,5.1,80985
Netflix,The November Man,MOVIE,2014,108,thriller,6.2,67737
Netflix,PK,MOVIE,2014,153,drama,8.1,181406
Netflix,Bill Burr: I'm Sorry You Feel That Way,MOVIE,2014,80,comedy,8.3,8084
Netflix,Copenhagen,MOVIE,2014,98,drama,7.0,13233
Netflix,Thanks for Sharing,MOVIE,2013,112,comedy,6.4,28396
Netflix,Queen,MOVIE,2014,146,comedy,8.1,65418
Netflix,Virunga,MOVIE,2014,90,documentation,8.2,11476
Netflix,Mike Birbiglia: My Girlfriend's Boyfriend,MOVIE,2013,75,comedy,8.0,3331
Netflix,Effie Gray,MOVIE,2014,104,drama,6.0,5596
Netflix,Elena,MOVIE,2013,82,documentation,7.6,1823
