platform,title,type,release_year,runtime,main_genre_clean,imdb_score,imdb_votes,,
Netflix,Big Eyes,MOVIE,2014,106,drama,"7,20",51,,
Netflix,Begin Again,MOVIE,2013,104,drama,"7,40",155.249,,
Netflix,42,MOVIE,2013,128,drama,"7,50",94.520,,
Netflix,Olympus Has Fallen,MOVIE,2013,120,action,"6,50",274.270,,
Netflix,Dark Skies,MOVIE,2013,97,scifi,"6,30",75.663,,
Netflix,Blue Jasmine,MOVIE,2013,99,drama,"7,30",201.749,,
Netflix,Insidious: Chapter 2,MOVIE,2013,106,horror,"6,50",169.039,,
Netflix,Creep,MOVIE,2014,82,horror,"6,30",53.408,,
Netflix,Barefoot,MOVIE,2014,90,romance,"6,60",24.167,,
Netflix,The Giver,MOVIE,2014,97,drama,"6,40",118.877,,
Netflix,Mandela: Long Walk to Freedom,MOVIE,2013,141,drama,"7,10",27.866,,
Netflix,The Green Inferno,MOVIE,2013,100,thriller,"5,30",44.016,,
Netflix,Empire State,MOVIE,2013,94,action,"5,20",21.538,,
Netflix,Penguins of Madagascar,MOVIE,2014,92,family,"6,60",89.930,,
Netflix,A Walk Among the Tombstones,MOVIE,2014,113,drama,"6,50",121.232,,
Netflix,The Call,MOVIE,2013,94,thriller,"6,70",121.843,,
Netflix,Scary Movie 5,MOVIE,2013,89,comedy,"3,50",71.405,,
Netflix,Philomena,MOVIE,2013,97,drama,"7,60",99.647,,
Netflix,Seventh Son,MOVIE,2014,102,action,"5,50",76.939,,
Netflix,The Butler,MOVIE,2013,132,drama,"7,20",114.768,,
Netflix,Texas Chainsaw 3D,MOVIE,2013,87,thriller,"4,80",49.312,,
Netflix,Cloudy with a Chance of Meatballs 2,MOVIE,2013,95,animation,"6,30",102.071,,
Netflix,Metallica: Through the Never,MOVIE,2013,93,music,"7,10",17.513,,
Netflix,Mr. Peabody & Sherman,MOVIE,2014,92,action,"6,80",69.669,,
Netflix,The Frozen Ground,MOVIE,2013,105,thriller,"6,40",62.972,,
Netflix,Shrek the Musical,MOVIE,2013,130,music,"6,90",3.695,,
Netflix,The Railway Man,MOVIE,2013,116,drama,"7,10",40.175,,
Netflix,Get on Up,MOVIE,2014,139,drama,"6,90",24.613,,
Netflix,Who Am I,MOVIE,2014,105,thriller,"7,50",55.044,,
Netflix,The Battered Bastards of Baseball,MOVIE,2014,80,documentation,"8,00",4.043,,
Netflix,Walk of Shame,MOVIE,2014,95,comedy,"6,00",54.465,,
Netflix,Cowspiracy: The Sustainability Secret,MOVIE,2014,90,documentation,"8,20",25.133,,
Netflix,The Smurfs 2,MOVIE,2013,105,comedy,"5,30",42.011,,
Netflix,"I, Frankenstein",MOVIE,2014,92,thriller,"5,10",80.985,,
Netflix,The November Man,MOVIE,2014,108,thriller,"6,20",67.737,,
Netflix,PK,MOVIE,2014,153,drama,"8,10",181.406,,
Netflix,Bill Burr: I'm Sorry You Feel That Way,MOVIE,2014,80,comedy,"8,30",8.084,,
Netflix,Copenhagen,MOVIE,2014,98,drama,"7,00",13.233,,
Netflix,Thanks for Sharing,MOVIE,2013,112,comedy,"6,40",28.396,,
Netflix,Queen,MOVIE,2014,146,comedy,"8,10",65.418,,
Netflix,Virunga,MOVIE,2014,90,documentation,"8,20",11.476,,
Netflix,Mike Birbiglia: My Girlfriend's Boyfriend,MOVIE,2013,75,comedy,"8,00",3.331,,
Netflix,Effie Gray,MOVIE,2014,104,drama,"6,00",5.596,,
Netflix,Elena,MOVIE,2013,82,documentation,"7,60",1.823,,
Netflix,The Haunting in Connecticut 2: Ghosts of Georgia,MOVIE,2013,101,thriller,"5,20",17.264,,
Netflix,The Nut Job,MOVIE,2014,85,comedy,"5,70",28.484,,
Netflix,Haider,MOVIE,2014,150,action,"8,10",54.709,,
Netflix,Omar,MOVIE,2013,96,romance,"7,50",14.318,,
Netflix,Tom Segura: Completely Normal,MOVIE,2014,74,comedy,"7,70",2.663,,
Netflix,We Steal Secrets: The Story of WikiLeaks,MOVIE,2013,127,documentation,"6,90",7.934,,
Netflix,Search Party,MOVIE,2014,93,comedy,"5,60",7.840,,
Netflix,Stand by Me Doraemon,MOVIE,2014,90,scifi,"7,30",7.989,,
Netflix,Berserk: The Golden Age Arc III - The Advent,MOVIE,2013,110,drama,"7,80",10.173,,
Netflix,The Square,MOVIE,2013,88,documentation,"8,10",8.949,,
Netflix,2 States,MOVIE,2014,149,drama,"6,90",25.656,,
Netflix,The Short Game,MOVIE,2013,100,documentation,"7,30",1.570,,
Netflix,Highway,MOVIE,2014,133,crime,"7,60",28.688,,
Netflix,Jinxed,MOVIE,2013,70,comedy,"6,30",1.488,,
Netflix,Dabbe: The Possession,MOVIE,2013,120,horror,"6,80",5.831,,
Netflix,Ralphie May: Imperfectly Yours,MOVIE,2013,69,comedy,"5,40",154,,
Netflix,Mary Kom,MOVIE,2014,122,history,"6,80",10.769,,
Netflix,"The Other One: The Long, Strange Trip of Bob Weir",MOVIE,2014,85,music,"7,30",1.677,,
Netflix,Fukrey,MOVIE,2013,137,drama,"6,90",11.780,,
Netflix,Free Birds,MOVIE,2013,91,animation,"5,80",24.140,,
Netflix,Race 2,MOVIE,2013,150,thriller,"5,30",16.455,,
Netflix,Birth Reborn,MOVIE,2013,91,documentation,"7,80",252,,
Netflix,The Berlin File,MOVIE,2013,120,action,"6,60",7.198,,
Netflix,Monty Python: The Meaning of Live,MOVIE,2014,96,documentation,"7,60",598,,
Netflix,Imperial Dreams,MOVIE,2014,87,drama,"6,70",4.509,,
Netflix,Monty Python: Live (Mostly),MOVIE,2014,138,documentation,"7,60",2.623,,
Netflix,LEGO DC Comics Super Heroes: Batman Be-Leaguered,MOVIE,2014,22,action,"6,50",1.340,,
Netflix,Hasee Toh Phasee,MOVIE,2014,141,comedy,"6,80",15.152,,
Netflix,The Boss: Anatomy of a Crime,MOVIE,2014,98,drama,"7,30",2.156,,
Netflix,Once Upon a Time in Mumbai Dobaara!,MOVIE,2013,160,action,"4,40",7.204,,
Netflix,Jim Jefferies: Bare,MOVIE,2014,76,comedy,"8,00",5.461,,
Netflix,Pizza,MOVIE,2014,107,horror,"6,20",1.313,,
Netflix,Boss,MOVIE,2013,143,comedy,"5,10",11.159,,
Netflix,Madras Cafe,MOVIE,2013,130,action,"7,60",24.506,,
